timestamp,obstacle_first_detected_time,status_change_time,decision_generation_time,image_capture_time,csv_write_time,overall_status,decision,image_captured,sensor_to_status_latency_ms,status_to_decision_latency_ms,decision_to_image_latency_ms
2026-08-06 11:17:50,2026-08-06 11:17:50.712,2026-08-06 11:17:50.712,2026-08-06 11:17:55.719,2026-08-06 11:17:57.119,2026-08-06 11:17:57.119,DANGER,HOLD / CONNECTION FAULT,True,0.151,5006.579,1399.969
2026-08-06 11:17:57,2026-08-06 11:17:57.736,2026-08-06 11:17:57.736,2026-08-06 11:18:02.742,2026-08-06 11:18:04.137,2026-08-06 11:18:04.137,DANGER,HOLD / CONNECTION FAULT,True,0.065,5005.814,1394.721
2026-08-06 11:18:04,2026-08-06 11:18:04.789,2026-08-06 11:18:04.789,2026-08-06 11:18:05.097,2026-08-06 11:18:06.454,2026-08-06 11:18:06.454,DANGER,HOLD / CONNECTION FAULT,True,0.066,307.914,1356.351
2026-08-06 11:18:06,2026-08-06 11:18:07.088,2026-08-06 11:18:07.088,2026-08-06 11:18:07.088,2026-08-06 11:18:08.683,2026-08-06 11:18:08.683,DANGER,HOLD POSITION (NO REVERSE),True,0.07,0.359,1594.328
2026-08-06 11:18:09,2026-08-06 11:18:09.335,2026-08-06 11:18:09.335,2026-08-06 11:18:09.336,2026-08-06 11:18:10.686,2026-08-06 11:18:10.687,DANGER,HOLD POSITION (NO REVERSE),True,0.079,0.303,1350.667
2026-08-06 11:18:11,2026-08-06 11:18:11.340,2026-08-06 11:18:11.340,2026-08-06 11:18:11.340,2026-08-06 11:18:12.691,2026-08-06 11:18:12.692,DANGER,HOLD POSITION (NO REVERSE),True,0.069,0.289,1350.899
2026-08-06 11:18:13,2026-08-06 11:18:13.362,2026-08-06 11:18:13.362,2026-08-06 11:18:13.362,2026-08-06 11:18:14.991,2026-08-06 11:18:14.992,DANGER,MOVE RIGHT,True,0.076,0.307,1628.917
2026-08-06 11:18:15,2026-08-06 11:18:15.645,2026-08-06 11:18:15.645,2026-08-06 11:18:15.645,2026-08-06 11:18:17.000,2026-08-06 11:18:17.000,DANGER,MOVE RIGHT,True,0.069,0.28,1354.48
2026-08-06 11:18:17,2026-08-06 11:18:17.651,2026-08-06 11:18:17.651,2026-08-06 11:18:17.652,2026-08-06 11:18:19.002,2026-08-06 11:18:19.003,DANGER,MOVE RIGHT,True,0.066,0.281,1350.947
2026-08-06 11:18:19,2026-08-06 11:18:19.620,2026-08-06 11:18:19.620,2026-08-06 11:18:19.620,N/A,2026-08-06 11:18:19.620,SAFE,MOVE FORWARD,False,0.07,0.277,N/A
