timestamp,front_distance_mm,left_distance_mm,right_distance_mm,back_distance_mm,sensor_overall_status,decision,image_filename,sensor_error_status,pixhawk_status,flight_mode,armed,reconnect_result
2026-08-05 14:29:52,244,172,22,208,DANGER,STOP / HOLD,captures/alert_20260805-142952.jpg,OK,CONNECTED,STABILIZE,False,N/A
2026-08-05 14:29:54,244,174,23,207,DANGER,STOP / HOLD,captures/alert_20260805-142954.jpg,OK,CONNECTED,STABILIZE,False,N/A
2026-08-05 14:29:56,248,172,22,209,DANGER,STOP / HOLD,captures/alert_20260805-142956.jpg,OK,CONNECTED,STABILIZE,False,N/A
2026-08-05 14:29:58,248,176,21,204,DANGER,STOP / HOLD,captures/alert_20260805-142958.jpg,OK,CONNECTED,STABILIZE,False,N/A
2026-08-05 14:30:00,250,172,22,210,DANGER,STOP / HOLD,captures/alert_20260805-143000.jpg,OK,CONNECTED,STABILIZE,False,N/A
2026-08-05 14:30:03,253,171,24,204,DANGER,STOP / HOLD,captures/alert_20260805-143003.jpg,OK,CONNECTED,STABILIZE,False,N/A
2026-08-05 14:30:05,239,8190,8190,8191,DANGER,STOP / HOLD,captures/alert_20260805-143005.jpg,OK,CONNECTED,STABILIZE,False,N/A
2026-08-05 14:30:07,241,8190,8191,8190,DANGER,STOP / HOLD,captures/alert_20260805-143007.jpg,OK,CONNECTED,STABILIZE,False,N/A
2026-08-05 14:30:09,231,8191,8190,8190,DANGER,STOP / HOLD,captures/alert_20260805-143009.jpg,OK,CONNECTED,STABILIZE,False,N/A
2026-08-05 14:30:11,8191,8190,8190,8190,SAFE,MOVE FORWARD,N/A,OK,CONNECTED,STABILIZE,False,N/A
2026-08-05 14:30:11,8190,8191,8190,8190,SAFE,MOVE FORWARD,N/A,OK,CONNECTED,STABILIZE,False,N/A
2026-08-05 14:30:12,8190,8191,8190,8190,SAFE,MOVE FORWARD,N/A,OK,CONNECTED,STABILIZE,False,N/A
2026-08-05 14:30:13,8190,8191,8190,8190,SAFE,MOVE FORWARD,N/A,OK,CONNECTED,STABILIZE,False,N/A
2026-08-05 14:30:13,8190,8190,8190,8191,SAFE,MOVE FORWARD,N/A,OK,CONNECTED,STABILIZE,False,N/A
2026-08-05 14:30:14,8190,200,8190,8190,DANGER,MOVE RIGHT,captures/alert_20260805-143014.jpg,OK,CONNECTED,STABILIZE,False,N/A
2026-08-05 14:30:16,250,174,18,261,DANGER,STOP / HOLD,captures/alert_20260805-143016.jpg,OK,CONNECTED,STABILIZE,False,N/A
