timestamp,front_distance_mm,left_distance_mm,right_distance_mm,back_distance_mm,overall_status,decision,image_filename,error_status
2026-07-13 10:52:39,97,37,25,8191,DANGER,STOP / HOLD,captures/alert_20260713-105239.jpg,OK
2026-07-13 10:52:41,101,101,24,8191,DANGER,STOP / HOLD,captures/alert_20260713-105241.jpg,OK
2026-07-13 10:52:43,8190,8190,25,8190,DANGER,MOVE LEFT,captures/alert_20260713-105243.jpg,OK
2026-07-13 10:52:51,8190,8190,27,8191,DANGER,MOVE LEFT,captures/alert_20260713-105251.jpg,OK
2026-07-13 11:32:28,8190,8191,8190,572,WARNING,CAUTION REVERSE,captures/alert_20260713-113228.jpg,OK
2026-07-13 11:32:30,8190,8190,8190,57,DANGER,HOLD POSITION (NO REVERSE),captures/alert_20260713-113230.jpg,OK
2026-07-13 11:32:32,8190,8190,8190,8191,SAFE,MOVE FORWARD,N/A,OK
2026-07-13 11:32:33,8190,8191,8190,8191,SAFE,MOVE FORWARD,N/A,OK
2026-07-13 11:32:34,8190,8191,8190,8191,SAFE,MOVE FORWARD,N/A,OK
2026-07-13 11:32:34,8190,8190,8190,8191,SAFE,MOVE FORWARD,N/A,OK
2026-07-13 11:32:35,8190,8190,8190,8191,SAFE,MOVE FORWARD,N/A,OK
2026-07-13 11:32:36,8190,8190,8190,8191,SAFE,MOVE FORWARD,N/A,OK
2026-07-13 11:32:36,8190,8190,33,8191,DANGER,MOVE LEFT,captures/alert_20260713-113236.jpg,OK
2026-07-13 11:32:38,8190,8190,8190,8191,SAFE,MOVE FORWARD,N/A,OK
2026-07-13 11:32:39,8190,8191,8190,8191,SAFE,MOVE FORWARD,N/A,OK
2026-07-13 11:32:40,8190,8190,8190,8191,SAFE,MOVE FORWARD,N/A,OK
2026-07-13 11:32:40,8190,30,8190,8191,DANGER,MOVE RIGHT,captures/alert_20260713-113240.jpg,OK
2026-07-13 11:32:42,8190,264,8190,8191,DANGER,MOVE RIGHT,captures/alert_20260713-113242.jpg,OK
2026-07-13 11:32:44,8190,272,8190,8191,DANGER,MOVE RIGHT,captures/alert_20260713-113244.jpg,OK
2026-07-13 11:33:02,74,204,66,297,DANGER,STOP / HOLD,captures/alert_20260713-113302.jpg,OK
2026-07-13 11:33:09,8190,206,40,57,DANGER,STOP / HOLD,captures/alert_20260713-113309.jpg,OK
2026-07-13 11:33:11,8190,203,8190,399,DANGER,MOVE RIGHT,captures/alert_20260713-113311.jpg,OK
2026-07-13 11:33:13,8190,210,8190,517,DANGER,MOVE RIGHT,captures/alert_20260713-113313.jpg,OK
2026-07-13 11:33:15,8190,213,8190,496,DANGER,MOVE RIGHT,captures/alert_20260713-113315.jpg,OK
2026-07-13 11:33:17,8190,206,8190,211,DANGER,STOP / HOLD,captures/alert_20260713-113317.jpg,OK
2026-07-13 11:33:19,8190,227,8190,8191,DANGER,MOVE RIGHT,captures/alert_20260713-113319.jpg,OK
2026-07-13 11:33:21,8190,8190,8190,8191,SAFE,MOVE FORWARD,N/A,OK
2026-07-13 11:33:22,8190,8190,8190,513,WARNING,CAUTION REVERSE,captures/alert_20260713-113322.jpg,OK
2026-07-13 11:33:24,8190,8190,8190,504,WARNING,CAUTION REVERSE,captures/alert_20260713-113324.jpg,OK
2026-07-13 11:33:26,8190,8190,8190,8191,SAFE,MOVE FORWARD,N/A,OK
2026-07-13 11:33:27,8190,8190,8190,8191,SAFE,MOVE FORWARD,N/A,OK
2026-07-13 11:33:27,8190,8190,8190,8191,SAFE,MOVE FORWARD,N/A,OK
2026-07-13 11:33:28,8190,8190,8190,8191,SAFE,MOVE FORWARD,N/A,OK
2026-07-13 11:33:29,8190,8190,8190,8191,SAFE,MOVE FORWARD,N/A,OK
2026-07-13 11:33:29,8190,8191,8190,8190,SAFE,MOVE FORWARD,N/A,OK
2026-07-13 11:33:30,8190,8191,8190,8190,SAFE,MOVE FORWARD,N/A,OK
2026-07-13 11:33:31,8190,8190,8190,8191,SAFE,MOVE FORWARD,N/A,OK
2026-07-13 11:33:31,8190,8191,8190,8191,SAFE,MOVE FORWARD,N/A,OK
2026-07-13 11:33:32,8190,8190,8190,8190,SAFE,MOVE FORWARD,N/A,OK
2026-07-13 11:33:33,8190,8191,8190,8191,SAFE,MOVE FORWARD,N/A,OK
2026-07-13 11:33:33,8190,37,8190,8191,DANGER,MOVE RIGHT,captures/alert_20260713-113333.jpg,OK
2026-07-13 11:33:37,8190,8190,8190,8191,SAFE,MOVE FORWARD,N/A,OK
2026-07-13 11:33:37,8190,8191,8190,8190,SAFE,MOVE FORWARD,N/A,OK
2026-07-13 11:33:38,8190,8190,8,8191,DANGER,MOVE LEFT,captures/alert_20260713-113338.jpg,OK
2026-07-13 11:33:43,8190,8191,8190,8191,SAFE,MOVE FORWARD,N/A,OK
2026-07-13 11:33:44,8190,8191,8190,8190,SAFE,MOVE FORWARD,N/A,OK
2026-07-13 11:33:45,8190,8191,26,8191,DANGER,MOVE LEFT,captures/alert_20260713-113345.jpg,OK
2026-07-13 11:33:48,8190,8191,8190,8191,SAFE,MOVE FORWARD,N/A,OK
2026-07-13 11:33:48,8190,8191,8190,61,DANGER,HOLD POSITION (NO REVERSE),captures/alert_20260713-113348.jpg,OK
2026-07-13 11:33:50,8190,8190,8190,8191,SAFE,MOVE FORWARD,N/A,OK
2026-07-13 11:33:51,8190,8191,8190,8190,SAFE,MOVE FORWARD,N/A,OK
2026-07-13 11:33:52,8190,8191,8190,8190,SAFE,MOVE FORWARD,N/A,OK
