Timestamp,Distance_mm,Distance_cm
2026-06-17 10:57:11,26,2.6
2026-06-17 10:57:12,26,2.6
2026-06-17 10:57:13,22,2.2
2026-06-17 10:57:14,32,3.2
2026-06-17 10:57:16,26,2.6
2026-06-17 10:57:17,150,15.0
2026-06-17 10:57:18,681,68.1
2026-06-17 10:57:19,8191,819.1
2026-06-17 10:57:20,8190,819.0
2026-06-17 10:57:21,8190,819.0
2026-06-17 10:57:22,142,14.2
2026-06-17 10:57:23,92,9.2
2026-06-17 10:57:24,53,5.3
2026-06-17 10:57:25,31,3.1
2026-06-17 10:57:26,26,2.6
2026-06-17 10:57:27,23,2.3
2026-06-17 10:57:28,8191,819.1
2026-06-17 10:57:29,690,69.0
